"LS","lab","group","dir","HR","p"
"LS_45","LS45  GMP","Favorable","favorable",0.759532798928858,0.00343609089953378
"LS_49","LS49  GMP","Favorable","favorable",0.831228444443384,0.0548877416963755
"LS_15","LS15  T/NK","Favorable","favorable",0.836108441574429,0.0604288077767997
"LS_39","LS39  Cell-cycle","Favorable","favorable",0.855894243771896,0.0841038757261132
"LS_20","LS20  Cell-cycle","Poor","poor",1.29145134511218,0.000548586292618593
"LS_34","LS34","Poor","poor",1.25901802921477,0.00124308556433532
"LS_25","LS25","Poor","poor",1.20499929299644,0.00401584714940967
"LS_36","LS36","Poor","poor",1.22400875198322,0.010877288734843
"LS_43","LS43","Poor","poor",1.16402463890795,0.0710304627215746
"LS_10","LS10  Cell-cycle","Poor","poor",1.13240573827248,0.0770861138674479
"LS_44","LS44  Macrophage","Poor","poor",1.15035618194214,0.0832060800089884
